Title,Year,Authors,Author Keywords,Document Type,NumPages,SourceTitle,DOI,Citations,Source,AI Taxonomy Domain,AI Taxonomy Subdomain,AI Technique,AI model Value to CM,Modeling Purpose,Modelling Language,Tool Support,Contribution Type,Research Type,Author Affiliations,Abstract,Countries,universities
Towards machine learning for learnability of MDD tools,2019,"Saad Bin Abid, Vishal Mahajan, Levi Lucio",,Conference Paper,6,"International Conference on Software Engineering and Knowledge Engineering, SEKE",https://doi.org/10.18293/SEKE2019-050,2,Scopus,Learning,Machine learning,Machine Learning,Model Use - Processing,Representation,DSML,https://tinyurl.com/y5skeeks,Algorithms,"Solution, Evaluation","[{'name': 'Saad Bin Abid', 'Affiliation(s)': ('Fortiss GmbH', 'Germany')}, {'name': 'Vishal Mahajan', 'Affiliation(s)': ('Technical University of Munich', 'Germany')}, {'name': 'Levi Lucio', 'Affiliation(s)': ('Fortiss GmbH', 'Germany')}]","© 2019 Knowledge Systems Institute Graduate School. All rights reserved.Learning how to build software systems using new tools can be a daunting task to anyone new to the job. This is especially true of tools that provide a large number of functionalities and views on the system under development, such as IDES for Model-Driven Development (MDD). Applying Machine Learning (ML) techniques can help in this state of affairs by pointing out to appropriate next actions to rookie or even intermediate developers. AutoFOCUS3 (AF3) is a mature MDD tool we are building in-house and for which we provide regular tutorials to new users. These users come from both the academia (e.g, students/professors) and the industry (e.g. managers/software engineers). Nonetheless, AF3 remains a complex tool and we have found there is a need to speedup the learning curve of the tool for students that attend our tutorials - or alternatively and more importantly for others that simply download the tool and attempt using it without human supervision. In this paper, we describe a machine learning-based recommendation system named MAGNET for aiding beginner and intermediate users of AF3 in learning the tool. We describe how we have gathered data and trained an ML model to suggest new commands, how a recommender system was integrated in the AF3, experiments we have run thus far, and the future directions of our work.","['Germany', 'Germany', 'Germany']","['Fortiss GmbH', 'Technical University of Munich', 'Fortiss GmbH']"
Towards Model-Driven Engineering for Big Data Analytics -- An Exploratory Analysis of Domain-Specific Languages for Machine Learning,2014,Dominic Breuker,Machine Learning;Graphical Models;Model-driven Engineering,Conference Paper,10,"Hawaii International Conference on System Sciences, HICSS",https://doi.org/10.1109/HICSS.2014.101,34,IEEE,Learning,Machine learning,Machine Learning,Model Creation - Semi-Automated,Code Generation,DSML,Not Available,Concepts,Solution,"[{'name': 'Dominic Breuker', 'Affiliation(s)': ('University of Muenster', 'Germany')}]","Graphical models and general purpose inference algorithms are powerful tools for moving from imperative towards declarative specification of machine learning problems. Although graphical models define the principle information necessary to adapt inference algorithms to specific probabilistic models, entirely model-driven development is not yet possible. However, generating executable code from graphical models could have several advantages. It could reduce the skills necessary to implement probabilistic models and may speed up development processes. Both advantages address pressing industry needs. They come along with increased supply of data scientist labor, the demand of which cannot be fulfilled at the moment. To explore the opportunities of model-driven big data analytics, I review the main modeling languages used in machine learning as well as inference algorithms and corresponding software implementations. Gaps hampering direct code generation from graphical models are identified and closed by proposing an initial conceptualization of a domain-specific modeling language.",['Germany'],['University of Muenster']
Towards model-driven self-explanation for autonomous decision-making systems,2019,Owen Reynolds,"self-explanation, model-driven, autonomous, decision-making",Conference Paper,5,"ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion, MODELS-C",https://doi.org/10.1109/MODELS-C.2019.00095,1,Scopus,"Learning, Planning","Machine learning, Optimization","Deep Learning, Genetic Algorithms",Model Use - Processing,"Representation, Analysis",DSML,Not Available,Discussions,Vision,"[{'name': 'Owen Reynolds', 'Affiliation(s)': ('Aston University', 'United Kingdom')}]","© 2019 IEEE.The ability for systems to make decisions by themselves is increasing with advances in different areas of AI such as machine learning and optimisation techniques for autonomous systems among other. Humans are handing over more decisions to systems that provide no explanations for their judgements unless they are enabled explicitly in their design. Trust based on a program being well written and tested correctly is not appropriate for AI-based autonomous systems. Unlike traditional software, this new software increasingly exhibit emergent behaviours making it unpredictable due to unexpected situations. Self-explanation is sometimes implemented, tracking decisions to give explanations to users. A more consistent, proven approach to self-explanation would be needed for making trustable systems. The paper proposes a research agenda to define an architecture to enable self-explanation for autonomous decision-making systems. The approach will be model-driven to facilitate reuse, the rapid development of tools and suitable abstractions for demonstrating concepts. The architecture will be informed by existing research in provenance ontology and model version research. The evaluation of the architecture is expected to be done using two case studies. The first will implement self-explanation as a primary concern in the building of a system. The second case will attempt to fit self-explanation to an existing system.",['United Kingdom'],['Aston University']
Towards Online Discovery of Data-Aware Declarative Process Models from Event Streams,2020,"Nicolò Navarin, Matteo Cambiaso, Andrea Burattin, Fabrizio M. Maggi, Luca Oneto, Alessandro Sperduti",,Conference Paper,8,"International Joint Conference on Neural Networks, IJCNN",https://doi.org/10.1109/IJCNN48605.2020.9207500,1,Scopus,Learning,Machine learning,Machine Learning,Model Creation - Automated,Representation,DSML,Closed,Algorithms,"Solution, Evaluation","[{'name': 'Nicolò Navarin', 'Affiliation(s)': ('Padua, University of', 'Italy')}, {'name': 'Matteo Cambiaso', 'Affiliation(s)': ('Department of Informatics, Bioengineering, Robotics, and Systems Engineering', 'Italy')}, {'name': 'Andrea Burattin', 'Affiliation(s)': ('Technical University of Denmark', 'Denmark')}, {'name': 'Fabrizio M. Maggi', 'Affiliation(s)': ('Free University of Bozen-Bolzano', 'Italy')}, {'name': 'Luca Oneto', 'Affiliation(s)': ('Department of Informatics, Bioengineering, Robotics, and Systems Engineering', 'Italy')}, {'name': 'Alessandro Sperduti', 'Affiliation(s)': ('Padua, University of', 'Italy')}]","© 2020 IEEE.In recent years, several techniques have been made available to automatically discover declarative process models from event logs. These techniques are useful to provide a comprehensible picture of the process as opposed to full specifications of process behavior provided by procedural modeling languages. Since many modern systems produce ""big data"" from business process executions, in previous work, a framework for the discovery of LTL-based declarative process models from streaming event data has been proposed. This framework can be used to process events online, as they occur, as a way to deal with large and complex collections of datasets that are impossible to store and process altogether. However, the proposed framework does not take into account data attributes associated with events in the log, which can otherwise provide valuable insights into the rules that govern the process. This paper makes the first proposal to close this gap by presenting a technique for discovering declarative process models from event streams that incorporates both control-flow dependencies and data conditions. Specifically, we use Hoeffding trees to incrementally discover data-aware declarative process models, which are represented as conjunctions of first-order temporal logic expressions. The proposed technique has been validated on a synthetic event log, and on a real-life log of a cancer treatment process.","['Italy', 'Italy', 'Denmark', 'Italy', 'Italy', 'Italy']","['University of Padua', 'Department of Informatics, Bioengineering, Robotics, and Systems Engineering', 'Technical University of Denmark', 'Free University of Bozen-Bolzano', 'Department of Informatics, Bioengineering, Robotics, and Systems Engineering', 'University of Padua']"
Towards Queryable and Traceable Domain Models,2020,"Rijul Saini, Gunter Mussbacher, Jin L.C. Guo, Jorg Kienzle",NLP;Machine Learning;Domain Model;Modelling Bot;Requirements Engineering;Trace Links,Conference Paper,6,"International Conference on Requirements Engineering, RE",https://doi.org/10.1109/RE48521.2020.00044,4,Scopus,"Learning, Communication","Natural language processing, Machine learning","Machine Learning, NLP",Model Creation - Automated,"Representation, Analysis","UML & UML Diagram Type & UML Profile, UML & UML Diagram Type & UML Profile",Closed,Algorithms,"Solution, Evaluation","[{'name': 'Rijul Saini', 'Affiliation(s)': ('McGill University', 'Canada')}, {'name': 'Gunter Mussbacher', 'Affiliation(s)': ('McGill University', 'Canada')}, {'name': 'Jin L.C. Guo', 'Affiliation(s)': ('McGill University', 'Canada')}, {'name': 'Jorg Kienzle', 'Affiliation(s)': ('McGill University', 'Canada')}]","© 2020 IEEE.Model-Driven Software Engineering encompasses various modelling formalisms for supporting software development. One such formalism is domain modelling which bridges the gap between requirements expressed in natural language and analyzable and more concise domain models expressed in class diagrams. Due to the lack of modelling skills among novice modellers and time constraints in industrial projects, it is often not possible to build an accurate domain model manually. To address this challenge, we aim to develop an approach to extract domain models from problem descriptions written in natural language by combining rules based on natural language processing with machine learning. As a first step, we report on an automated and tool-supported approach with an accuracy of extracted domain models higher than existing approaches. In addition, the approach generates trace links for each model element of a domain model. The trace links enable novice modellers to execute queries on the extracted domain models to gain insights into the modelling decisions taken for improving their modelling skills. Furthermore, to evaluate our approach, we propose a novel comparison metric and discuss our experimental design. Finally, we present a research agenda detailing research directions and discuss corresponding challenges.","['Canada', 'Canada', 'Canada', 'Canada']","['McGill University', 'McGill University', 'McGill University', 'McGill University']"
Towards requirement analysis pattern for learning agents,2011,"Shiva Vafadar, Ahmad Abdollahzadeh Barfourosh",Agent Oriented Software Engineering (AOSE); Analysis Patterns; Requirements Analysis; Learning,Conference Paper,12,"International Workshop on Agent-Oriented Software Engineering, AOSE",https://doi.org/10.1007/978-3-642-22636-6_5,1,Scopus,"Integration and Interaction, Learning","Multi-agent systems, Machine learning","Multi-Agent Systems, Machine Learning",,Representation,DSML,Not Available,Concepts,Solution,"[{'name': 'Shiva Vafadar', 'Affiliation(s)': ('Amirkabir University of Technology', 'Iran')}, {'name': 'Ahmad Abdollahzadeh Barfourosh', 'Affiliation(s)': ('Amirkabir University of Technology', 'Iran')}]","Learning is a capability that can be incorporated into software agents to handle the complexity of dynamic and unexpected situations, exploiting available artificial intelligence (AI) techniques. Despite design techniques for learning agents have been discussed in agent oriented software engineering literature, how to identify and analyze the requirements for learning agents is still poorly addressed. In this paper, we introduce a pattern for requirement analysis of learning agents. This analysis pattern contains a group of related, generic meta-classes of learning and their relations in a domain neutral manner which can be described as elements of conceptual modeling of learning requirement of agents. The applicability of the pattern has been investigated through the development of a book trading case study. © 2011 Springer-Verlag.","['Iran', 'Iran']","['Amirkabir University of Technology', 'Amirkabir University of Technology']"
Towards statistical comparison and analysis of models,2016,"Önder Babur, Loek Cleophas, Tom Verhoeff, Mark Van Den Brand",Model-Driven Engineering;Model Comparison;Statistical Analysis;R;Vector Space Model;Clustering,Conference Paper,7,"International Conference on Model-Driven Engineering and Software Development, MODELSWARD",https://doi.org/10.5220/0005799103610367,7,Scopus,Planning,Optimization,Genetic Algorithms,Model Use - Processing,Representation,DSML,Closed,Algorithms,"Solution, Evaluation","[{'name': 'Önder Babur', 'Affiliation(s)': ('Eindhoven University of Technology', 'Netherlands')}, {'name': 'Loek Cleophas', 'Affiliation(s)': [('Eindhoven University of Technology', 'Netherlands'), ('Stellenbosch University', 'South Africa')]}, {'name': 'Tom Verhoeff', 'Affiliation(s)': ('Eindhoven University of Technology', 'Netherlands')}, {'name': 'Mark Van Den Brand', 'Affiliation(s)': ('Eindhoven University of Technology', 'Netherlands')}]","© Copyright 2016 by SCITEPRESS - Science and Technology Publications, Lda. All rights reserved.Model comparison is an important challenge in model-driven engineering, with many application areas such as model versioning and domain model recovery. There are numerous techniques that address this challenge in the literature, ranging from graph-based to linguistic ones. Most of these involve pairwise comparison, which might work, e.g. for model versioning with a small number of models to consider. However, they mostly ignore the case where there is a large number of models to compare, such as in common domain model/metamodel recovery from multiple models. In this paper we present a generic approach for model comparison and analysis as an exploratory first step for model recovery. We propose representing models in vector space model, and applying clustering techniques to compare and analyse a large set of models. We demonstrate our approach on a synthetic dataset of models generated via genetic algorithms.","['Netherlands', 'Netherlands', 'South Africa', 'Netherlands', 'Netherlands']","['Eindhoven University of Technology', 'Eindhoven University of Technology', 'Stellenbosch University', 'Eindhoven University of Technology', 'Eindhoven University of Technology']"
Towards the coexistence of different multi-agent system modeling languages with a powertype-based metamodel,2009,Iván García-Magariño,multi-agent systems; software engineering; model-driven development; metamodel; powertype,Conference Paper,5,"International Symposium on Distributed Computing and Artificial Intelligence, DCAI",https://doi.org/10.1007/978-3-540-85863-8_23,2,Scopus,"Integration and Interaction, Reasoning","Multi-agent systems, Knowledge representation",Multi-Agent Systems,,Representation,DSML,Not Available,Concepts,Solution,"[{'name': 'Iván García-Magariño', 'Affiliation(s)': ('Complutense University of Madrid', 'Spain')}]","The diversity of Multi-agent System(MAS) methodologies and modeling languages(MLs) is increasing more and more. Although most of the MAS concepts are shared among the MAS MLs, these MAS concepts use different notations and have semantic particularities for each MAS ML. This paper presents a meta-modelling solution and tool support for the coexistence of the MAS ML diversity. This solution is based on a inter-ML metamodel, which provides a mechanism for the MAS specification interchange amongst different MAS modeling languages. This metamodel is based on the powertype pattern; in which, the clabjects represent subtypes and are instantiated at the model. The MAS designer can change the clabjects properties to indicate the particularities of each concept, depending on the ML the MAS designer is used to. © 2009 Springer-Verlag Berlin Heidelberg.",['Spain'],['Complutense University of Madrid']
Traffic-aware stress testing of distributed real-time systems based on UML models using genetic algorithms,2008,"Vahid Garousi, Lionel C. Briand, Yvan Labiche","Stress testing, Performance testing, Model-based testing, Distributed systems, Real-time systems, UML, Network traffic, Genetic algorithms",Article,25,Journal of Systems and Software,https://doi.org/10.1016/j.jss.2007.05.037,29,Scopus,Planning,Optimization,Genetic Algorithms,Model Use - Processing,Code Generation,UML & UML Diagram Type & UML Profile,"Garousi, V., Briand, L., Labiche, Y., 2006a. Traffic-aware stress testing of distributed real-time systems based on uml models using genetic algorithms, Technical Report SCE-06-09, Carleton University. <http://squall.sce.carleton.ca/pubs/tech_report/TR_SCE-06-09.pdf>.",Methods,"Solution, Evaluation","[{'name': 'Vahid Garousi', 'Affiliation(s)': ('Calgary, University of', 'Canada')}, {'name': 'Lionel C. Briand', 'Affiliation(s)': ('Simula Research Laboratory', 'Norway')}, {'name': 'Yvan Labiche', 'Affiliation(s)': ('Carleton University', 'Canada')}]","This paper presents a model-driven, stress test methodology aimed at increasing chances of discovering faults related to network traffic in distributed real-time systems (DRTS). The technique uses the UML 2.0 model of the distributed system under test, augmented with timing information, and is based on an analysis of the control flow in sequence diagrams. It yields stress test requirements that are made of specific control flow paths along with time values indicating when to trigger them. The technique considers different types of arrival patterns (e.g., periodic) for real-time events (common to DRTSs), and generates test requirements which comply with such timing constraints. Though different variants of our stress testing technique already exist (that stress different aspects of a distributed system), they share a large amount of common concepts and we therefore focus here on one variant that is designed to stress test the system at a time instant when data traffic on a network is maximal. Our technique uses genetic algorithms to find test requirements which lead to maximum possible traffic-aware stress in a system under test. Using a real-world DRTS specification, we design and implement a prototype DRTS and describe, for that particular system, how the stress test cases are derived and executed using our methodology. The stress test results indicate that the technique is significantly more effective at detecting network traffic-related faults when compared to test cases based on an operational profile. © 2007 Elsevier Inc. All rights reserved.","['Canada', 'Norway', 'Canada']","['University of Calgary', 'Simula Research Laboratory', 'Carleton University']"
Transformation learning in the context of Model-Driven Data Warehouse: An experimental design based on Inductive Logic programming,2011,"Moez Essaidi, Aomar Osmani, Céline Rouveirol",Model-Driven Data Warehouse;Inductive Logic Programming;Dependent-Concept Learning,Conference Paper,8,"International Conference on Tools with Artificial Intelligence, ICTAI",https://doi.org/10.1109/ICTAI.2011.110,3,Scopus,Learning,Machine learning,"Integer Linear Programming, Machine Learning",Model Use - Processing,Code Generation,"UML & UML Diagram Type & UML Profile, Others",Closed,Algorithms,"Solution, Evaluation","[{'name': 'Moez Essaidi', 'Affiliation(s)': ('Sorbonne Paris Nord, University', 'France')}, {'name': 'Aomar Osmani', 'Affiliation(s)': ('Sorbonne Paris Nord, University', 'France')}, {'name': 'Céline Rouveirol', 'Affiliation(s)': ('Sorbonne Paris Nord, University', 'France')}]","Model transformation in the context of Model-Driven Data Warehouse is ensured by human experts. It generates an exorbitant cost and requires high proficiency. We propose in this paper a machine learning approach to reduce the expert contribution in the transformation process. We propose to express the model transformation problem as an Inductive Logic Programming one and to use existing project traces to find the best business transformation rules. We used the Aleph ILP system to learn such rules. Obtained results show that found rules are close to expert ones. Within our application context, we need to deal with several dependent concepts. Taking into account work in Layered Learning, we propose a new methodology that automatically updates the background knowledge of the concepts to be learned. Experimental results support the conclusion that this approach is suitable to solve this kind of problem. © 2011 IEEE.","['France', 'France', 'France']","['Sorbonne Paris Nord, University', 'Sorbonne Paris Nord, University', 'Sorbonne Paris Nord, University']"
Translation of statechart agents into a BDI framework for MAS engineering,2015,"Giancarlo Fortino, Francesco Rango, Wilma Russo, Corrado Santoro",,Article,11,Engineering Applications of Artificial Intelligence,https://doi.org/10.1016/j.engappai.2015.01.012,12,Scopus,Communication,Natural language processing,NLP,Model Use - Processing,Code Generation,"UML & UML Diagram Type & UML Profile, UML & UML Diagram Type & UML Profile",Closed,Concepts,Solution,"[{'name': 'Giancarlo Fortino', 'Affiliation(s)': ('Calabria, University of', 'Italy')}, {'name': 'Francesco Rango', 'Affiliation(s)': ('Calabria, University of', 'Italy')}, {'name': 'Wilma Russo', 'Affiliation(s)': ('Calabria, University of', 'Italy')}, {'name': 'Corrado Santoro', 'Affiliation(s)': ('Catania, University of', 'Italy')}]","© 2015 Elsevier Ltd.In the agent-oriented computing area, different programming paradigms have been to date proposed to design and implement multi-agent systems (MAS). Among them, the Belief-Desire-Intention (BDI) and Statecharts-based models have emerged as they effectively support the definition of rational and protocol-oriented agent behaviors, respectively. In this paper, we investigate the translation between such models by using two available agent modeling languages: PROFETA, which is based on the BDI agent model, and the agent-oriented Distilled StateCharts (DSC) formalism, which allows modeling agent behaviors based on Statecharts-like state machines. In particular, we propose a mapping from DSC to PROFETA that can enable visual programming of PROFETA programs to facilitate the development of PROFETA-based autonomous systems. A case-study is also developed to exemplify the proposed engineering approach.","['Italy', 'Italy', 'Italy', 'Italy']","['University of Calabria', 'University of Calabria', 'University of Calabria', 'University of Catania']"
UML generator - An automated system for model driven development,2017,"Chamitha Ramal Narawita, Kaneeka Vidanage",UML Diagrams;Use Case Diagram;Class Diagram;Natural Language Processing;Artificial Intelligence;Machine Learning;Software Design Phase,Conference Paper,7,"International Conference on Advances in ICT for Emerging Regions, ICTer",https://doi.org/10.1109/ICTER.2016.7829928,5,Scopus,"Learning, Communication","Natural language processing, Machine learning","NLP, Machine Learning",Model Creation - Automated,Representation,UML & UML Diagram Type & UML Profile,Closed,Algorithms,"Solution, Evaluation","[{'name': 'Chamitha Ramal Narawita', 'Affiliation(s)': ('Informatics Institute of Technology', 'Sri Lanka')}, {'name': 'Kaneeka Vidanage', 'Affiliation(s)': ('Informatics Institute of Technology', 'Sri Lanka')}]","© 2016 IEEE.This research mainly focused on automation of Unified Modeling Language (UML) diagrams from the analyzed requirement text using Natural Language Processing (NLP). The proposed system is an efficient and accurate way to obtain elements of the use case and class diagrams from proposed methods. This research mainly focuses on the design phase of a software. Nowadays everybody needs a quick and reliable service. It was needed to have some sort of quick, accurate and intelligent software for generating UML based documentations to save time and budget of both the user and system analyst [1].","['Sri Lanka', 'Sri Lanka']","['Informatics Institute of Technology', 'Informatics Institute of Technology']"
UML Modeling for Preserving Sensitive Information Based on k-Means Clustering Approach,2019," Anurag, Deepak Arora, Upendra Kumar",,Conference Paper,8,"Amity International Conference on Artificial Intelligence, AICAI",https://doi.org/10.1109/AICAI.2019.8701284,0,Scopus,Learning,Machine learning,Machine Learning,Model Use - Analyzing,Representation,UML & UML Diagram Type & UML Profile,Not Available,Concepts,Solution,"[{'name': ' Anurag', 'Affiliation(s)': ('Amity University', 'India')}, {'name': 'Deepak Arora', 'Affiliation(s)': ('Amity University', 'India')}, {'name': 'Upendra Kumar', 'Affiliation(s)': ('Birla Institute of Technology and Science, Pilani', 'India')}]","© 2019 IEEE.This paper proposes the UML modeling approach to facilitate the software engineers in order to implement the cryptographic PPkDC (Privacy Preserving k-means Data Clustering) algorithm based on Object Oriented methodology. Industrial applications for securing sensitive information to be mined have now become the need of different organizations. This paper applies the k-means data clustering approach on to securing sensitive information. The authors have demonstrated the Object Oriented modeling of the proposed approach with the help of visual modeling language platform UML. It applies clustering algorithm on the data encrypted by Pailler homomorphic cryptosystem and UML modeling of the proposed approach has also been given in this research work with the help of different UML sequence, class, activity diagram. Authors have represented the UML approach of software design regarding PPkDC implementation to different data sources. The proposed approach provide the blueprint for constructing and documenting the UML model for the proposed system for providing the cost and time efficient framework for securing sensitive data to be mined accidently or intentionally.","['India', 'India', 'India']","['Amity University', 'Amity University', 'Birla Institute of Technology and Science, Pilani']"
UML-based domain ontology modeling for multi-agent system,2003,"Wei Liu, Zong-Tian Liu, Kun Shao",,Conference Paper,6,"International Conference on Machine Learning and Cybernetics, ICMLC",,3,Scopus,"Integration and Interaction, Reasoning","Multi-agent systems, Knowledge representation",Multi-Agent Systems,,"Representation, Analysis","UML & UML Diagram Type & UML Profile, Domain Ontology",Not Available,"Concepts, Methods",Solution,"[{'name': 'Wei Liu', 'Affiliation(s)': ('Shanghai University', 'China')}, {'name': 'Zong-Tian Liu', 'Affiliation(s)': ('Shanghai University', 'China')}, {'name': 'Kun Shao', 'Affiliation(s)': ('Shanghai University', 'China')}]","In multi-agent application system, Ontologies play an important role in facilitating the share and reuse of knowledge. In the field of object-oriented modeling, Unified Modeling Language (UML) has become standard modeling language and is widely supported by robust commercial tools. This paper shows how UML can be exploited to design the domain ontology model of multi-agent system at the agent level, in particular presents an Ontology Model Diagram by extending the UML Class Diagram, and discusses the reasoning on UML-based ontology model.","['China', 'China', 'China']","['Shanghai University', 'Shanghai University', 'Shanghai University']"
Unified problem modeling language for knowledge engineering of complex systems: Task structure level and computational level,2004," Khosla,  Li",,Article,21,Soft Computing,https://doi.org/10.1007/s00500-003-0307-x,3,Scopus,Reasoning,Knowledge representation,,,Representation,DSML,Not Available,Concepts,Solution,"[{'name': ' Khosla', 'Affiliation(s)': ('La Trobe University', 'Australia')}, {'name': ' Li', 'Affiliation(s)': ('La Trobe University', 'Australia')}]","The 90's has seen the emergence of hybrid configurations of four most commonly used intelligent methodologies, namely, symbolic knowledge based systems (e.g. expert systems), artificial neural networks, fuzzy systems and genetic algorithms. These hybrid configurations are used for different problem solving tasks/situations. In this paper we describe unified problem modeling language at two different levels, the task structure level for knowledge engineering of complex data intensive domains, and the computational level of the task level hybrid architecture. Among other aspects, the unified problem modeling language considers various intelligent methodologies and their hybrid configurations as technological primitives used to accomplish various tasks defined at the task structure level. The unified problem modeling language is defined in the form of five problem solving adapters. The problem solving adapters outline the goals, tasks, percepts/inputs, and hard and soft computing methods for modeling complex problems. The task structure level has been applied in modeling several applications in e-commerce, image processing, diagnosis, and other complex, time critical, and data intensive domains. We also define a layered intelligent multi-agent, operating system processes, intelligent technologies with the task structure level associative hybrid architecture. The layered architecture also facilitates component based software modeling process. © Springer-Verlag 2003.","['Australia', 'Australia']","['La Trobe University', 'La Trobe University']"
Unsupervised learning of design rules aided by system derived heuristics,1991,"S. Matwin, F. Oppacher, B. Pelletier, U-M. O'Reilly",,Book Chapter,11,Artificial Intelligence in Design,https://doi.org/10.1016/B978-0-7506-1188-6.50018-1,3,Science Direct,Learning,Machine learning,Machine Learning,Model Creation - Semi-Automated,Code Generation,"Entity Relationship, Entity Relationship",Closed,Algorithms,Solution,"[{'name': 'S. Matwin', 'Affiliation(s)': ('University of Ottawa', 'Canada')}, {'name': 'F. Oppacher', 'Affiliation(s)': ('University of Ottawa', 'Canada')}, {'name': 'B. Pelletier', 'Affiliation(s)': ('University of Ottawa', 'Canada')}, {'name': ""U-M. O'Reilly"", 'Affiliation(s)': ('Carleton University', 'Canada')}]","This paper describes HERALD (HEuristic Rule Analysis and Learning for Design), a two stage learning system consisting of ECMA (Extended Conceptual Modelling Assistant) and LEADER (LEArning DEsign Rules). HERALD provides design assistance for conceptual modelling in the Extended Entity-Relationship Model (ER) domain. Its first component, ECMA, using an extended case-based model and the expert as oracle, provides designers with suggestions for design completion by developing and refining heuristics reflecting modelling strategies. These heuristics are subsequently used by LEADER which, non-interactively, learns design rules via an explanation-based paradigm. Once approved by experts, LEADER'S rules are directly incorporated into the underlying knowledge-based design tool which HERALD supports. This work addresses what we perceive as a shortcoming of some AI-based design tools, which require detailed and explicit knowledge of design. In our approach the problem is circumvented by combining the explanation-based learning (EBL) with case-based learning. The latter type of learning, rather than requiring a codified theory of design, uses readily available design cases.","['Canada', 'Canada', 'Canada', 'Canada']","['University of Ottawa', 'University of Ottawa', 'University of Ottawa', 'Carleton University']"
Use case paths model revealing through natural language requirements analysis,2007,Magda G. Ilieva,,Conference Paper,7,"International Conference on Artificial Intelligence, ICAI",,4,Scopus,Communication,Natural language processing,NLP,Model Use - Analyzing,Representation,Others,Not Available,"Concepts, Methods",Solution,"[{'name': 'Magda G. Ilieva', 'Affiliation(s)': ('Concordia University', 'Canada')}]","The approaches for extraction and representation of knowledge from textual user requirements could be summarized in two groups: i) when we have in mind an end model and seek, mine and represent knowledge for it. In short, this approach can be defined as ""knowledge driven from a target model""; ii) when we have in mind knowledge in a text, and seek an appropriate model to represent it. The intermediate model obtained in this manner can be processed further, to achieve another kind of end model. We define this approach as ""model driven from source knowledge"". This paper presents an approach of the second kind, for analyzing textual user requirements and extraction and representation of knowledge as a graphical requirement engineering (RE) model - Use Case Paths.",['Canada'],['Concordia University']
Using conceptual modeling to support machine learning,2019,"Roman Lukyanenko, Arturo Castellanos, Jeffrey Parsons, Monica Chiarini Tremblay, Veda C. Storey",Machine learning; Conceptual modeling; Applications; Data mining; CRISP-DM,Conference Paper,12,"International Conference on Advanced Information Systems Engineering, CAiSE",https://doi.org/10.1007/978-3-030-21297-1_15,6,Scopus,Learning,Machine learning,Machine Learning,,"Representation, (Re-) Design","BPMN, Entity Relationship, UML & UML Diagram Type & UML Profile",Not Available,Discussions,Vision,"[{'name': 'Roman Lukyanenko', 'Affiliation(s)': ('HEC Montréal', 'Canada')}, {'name': 'Arturo Castellanos', 'Affiliation(s)': ('Baruch College', 'United States')}, {'name': 'Jeffrey Parsons', 'Affiliation(s)': ('Memorial University of Newfoundland', 'Canada')}, {'name': 'Monica Chiarini Tremblay', 'Affiliation(s)': ('William & Mary', 'United States')}, {'name': 'Veda C. Storey', 'Affiliation(s)': ('Georgia State University', 'United States')}]","© Springer Nature Switzerland AG 2020.With the transformation of our society into a “digital world,” machine learning has emerged as an essential approach to extracting useful information from large collections of data. However, challenges remain for using machine learning effectively. We propose that some of these can be overcome using conceptual modeling. We examine a popular cross-industry standard process for data mining, commonly known as CRISP-DM Directions, and show the potential usefulness of conceptual modeling at each stage of this process. The results are illustrated through an application to a management system for drug monitoring. Doing so demonstrates that conceptual modeling can advance machine learning by: (1) supporting the application of machine learning within organizations; (2) improving the usability of machine learning as decision tools; and (3) optimizing the performance of machine learning algorithms. Based on the CRISP-DM framework, we propose six research directions that should be explored to understand how conceptual modeling can support and extend machine learning.","['Canada', 'United States', 'Canada', 'United States', 'United States']","['HEC Montréal', 'Baruch College', 'Memorial University of Newfoundland', 'William & Mary', 'Georgia State University']"
Using constraint satisfaction problem solving to enable workflow flexibility by deviation (best technical paper),2017,"Lisa Grumbach, Ralph Bergmann",,Conference Paper,15,"International Conference on Innovative Techniques and Applications of Artificial Intelligence, SGAI",https://doi.org/10.1007/978-3-319-71078-5_1,4,Scopus,Planning,Optimization,,Model Use - Processing,Code Generation,BPMN,https://choco-solver.org/,Methods,"Solution, Evaluation","[{'name': 'Lisa Grumbach', 'Affiliation(s)': ('Trier, University of', 'Germany')}, {'name': 'Ralph Bergmann', 'Affiliation(s)': ('Trier, University of', 'Germany')}]","This paper introduces a novel approach for flexible workflow management by applying constraint satisfaction problem solving. This enables us to support workflow deviations at runtime, react to upcoming events or unpredictable circumstances, but still support the user through worklist suggestions. The developed workflow engine is completely based on declarative workflow representations, whereas procedural languages are used for workflow modeling. The described approach is fully implemented and our experiments demonstrate sufficient runtime performance for practical use.","['Germany', 'Germany']","['University of Trier', 'University of Trier']"
